"Age","Mean Costs ($)","95% CI, Lower Limit","95% CI, Upper Limit"
20,5559.64022396337,3482.40087890625,7513.06884765625
21,5776.46144334442,3809.13354492188,7647.79296875
22,5994.0987674592,4131.1181640625,7780.95654296875
23,6212.57494913892,4435.98828125,7905.27490234375
24,6431.89721137657,4697.7431640625,8095.9775390625
25,6652.06101432972,4960.3857421875,8239.2841796875
26,6873.04431166683,5269.34130859375,8363.955078125
27,7094.80379878972,5523.7568359375,8528.0244140625
28,7317.27326356594,5753.37744140625,8723.55859375
29,7540.36529179172,6146.7138671875,8911.8291015625
30,7764.85038673514,6387.11181640625,9076.9296875
31,7991.53280311604,6605.5810546875,9253.8232421875
32,8217.02785485776,6852.38427734375,9456.0400390625
33,8442.52936831173,7102.02587890625,9646.8994140625
34,8667.88791633538,7397.34814453125,9919.9404296875
35,8893.01514500221,7603.54150390625,10132.974609375
36,9123.7017096463,7797.91064453125,10384.4599609375
37,9351.5368965847,8000.42626953125,10577.4765625
38,9577.44109456381,8210.92578125,10817.7353515625
39,9805.08443867496,8420.119140625,11068.65234375
40,10039.0948848305,8621.8212890625,11326.728515625
41,10272.2637825432,8804.0341796875,11613.93359375
42,10505.3011302268,8997.966796875,11862.4365234375
43,10739.0336245306,9207.2939453125,12156.25
44,10977.88149332,9464.0078125,12433.2373046875
45,11224.0053535882,9705.8173828125,12658.15625
46,11476.3867696554,9999.8779296875,12872.5634765625
47,11729.8969146619,10256.439453125,13151.966796875
48,11979.2589062571,10593.4580078125,13352.044921875
49,12221.101108595,10870.17578125,13537.48828125
50,12456.5316119182,11138.2783203125,13751.4580078125
51,12685.5706353239,11401.0341796875,13974.2412109375
52,12906.6792341542,11656.60546875,14152.185546875
53,13115.2946130312,11902.33984375,14328.0908203125
54,13303.8349935251,12108.5908203125,14512.6962890625
55,13477.9682933123,12300.4169921875,14690.724609375
56,13654.2793065643,12526.29296875,14888.6748046875
57,13846.6857883737,12795.6064453125,14993.3134765625
58,14072.6259565621,13024.90625,15278.1201171875
59,14328.064541443,13238.451171875,15527.0966796875
60,14542.2876337001,13446.19921875,15700.333984375
61,14741.6985968777,13633.91015625,15893.6689453125
62,14931.855522699,13791.0791015625,16079.5166015625
63,15111.0741551022,13993.5712890625,16199.3291015625
64,15292.4066373371,14238.9306640625,16396.1953125
65,15474.4117389128,14503.416015625,16589.431640625
66,15654.1601380797,14722.40234375,16765.34765625
67,15829.097199784,14829.76171875,16928
68,15993.9170132885,14953.71875,17048.7734375
69,16142.9232385797,15104.5283203125,17222.748046875
70,16279.8013692854,15301.0498046875,17423.9453125
71,16432.8704772502,15380.365234375,17619.880859375
72,16591.1498779141,15570.2666015625,17819.666015625
73,16736.852903172,15632.650390625,18063.2578125
74,16873.9948001237,15676.0478515625,18321.658203125
75,16992.6923454581,15739.2197265625,18497.91796875
76,17118.8672114665,15804.1865234375,18728.068359375
77,17241.7453704305,15826.1201171875,18971.67578125
78,17351.3285551952,15805.0478515625,19114.677734375
79,17462.2752380683,15834.583984375,19297.28515625
80,17560.1087671887,15847.3681640625,19536.80859375
81,17647.6584594577,15709.7158203125,19695.552734375
82,17721.8087592305,15686.8076171875,19843.626953125
83,17797.3329366503,15652.8203125,20093.568359375
84,17821.2283559342,15583.009765625,20295.84375
85,17826.8731828967,15458.271484375,20479.009765625
